1     	236951
2     	57875
3     	53484
4     	43357
5     	28153
6     	26416
7     	16777
8     	15068
9     	14162
10    	12375
11    	12225
12    	11015
13    	9748
14    	9716
15    	9316
16    	8539
17    	8026
18    	6822
19    	6575
20    	6360
21    	6264
22    	6167
23    	6133
24    	5927
25    	5837
26    	5580
27    	5559
28    	4976
29    	4846
30    	4370
31    	4206
32    	4025
33    	4016
34    	3990
35    	3982
36    	3967
37    	3820
38    	3746
39    	3674
40    	3562
41    	3536
42    	3534
43    	3466
44    	3406
45    	3334
46    	3270
47    	3261
48    	3211
49    	3166
50    	3117
51    	3104
52    	3032
53    	2793
54    	2749
55    	2743
56    	2713
57    	2645
58    	2628
59    	2522
60    	2473
61    	2461
62    	2437
63    	2362
64    	2347
65    	2341
66    	2333
67    	2322
68    	2303
69    	2224
70    	2216
71    	2171
72    	2151
73    	2146
74    	2141
75    	2134
76    	2129
77    	2121
78    	2076
79    	2049
80    	2049
81    	2046
82    	2044
83    	1990
84    	1963
85    	1948
86    	1917
87    	1912
88    	1895
89    	1880
90    	1874
91    	1848
92    	1846
93    	1840
94    	1825
95    	1817
96    	1814
97    	1813
98    	1810
99    	1805
100   	1801
101   	1784
102   	1783
103   	1773
104   	1769
105   	1728
106   	1709
107   	1703
108   	1694
109   	1689
110   	1670
111   	1668
112   	1661
113   	1634
114   	1630
115   	1628
116   	1625
117   	1612
118   	1604
119   	1584
120   	1567
121   	1552
122   	1543
123   	1540
124   	1533
125   	1531
126   	1524
127   	1514
128   	1506
129   	1501
130   	1499
131   	1483
132   	1479
133   	1466
134   	1459
135   	1449
136   	1448
137   	1428
138   	1420
139   	1392
140   	1391
141   	1387
142   	1369
143   	1367
144   	1365
145   	1364
146   	1359
147   	1351
148   	1335
149   	1333
150   	1331
151   	1322
152   	1320
153   	1315
154   	1308
155   	1308
156   	1307
157   	1300
158   	1299
159   	1296
160   	1287
161   	1284
162   	1270
163   	1268
164   	1267
165   	1264
166   	1264
167   	1258
168   	1255
169   	1248
170   	1241
171   	1235
172   	1233
173   	1231
174   	1223
175   	1221
176   	1216
177   	1216
178   	1215
179   	1206
180   	1201
181   	1198
182   	1196
183   	1187
184   	1186
185   	1184
186   	1182
187   	1181
188   	1178
189   	1176
190   	1171
191   	1170
192   	1170
193   	1168
194   	1156
195   	1156
196   	1154
197   	1153
198   	1149
199   	1126
200   	1121
201   	1120
202   	1117
203   	1116
204   	1110
205   	1107
206   	1096
207   	1092
208   	1091
209   	1087
210   	1079
211   	1079
212   	1074
213   	1073
214   	1072
215   	1072
216   	1067
217   	1059
218   	1058
219   	1057
220   	1056
221   	1056
222   	1051
223   	1046
224   	1045
225   	1044
226   	1039
227   	1037
228   	1037
229   	1037
230   	1034
231   	1031
232   	1031
233   	1025
234   	1022
235   	1021
236   	1016
237   	1016
238   	1015
239   	1014
240   	1012
241   	1010
242   	1009
243   	1008
244   	1000
245   	1000
246   	992
247   	991
248   	990
249   	987
250   	987
251   	985
252   	983
253   	982
254   	979
255   	976
256   	975
257   	974
258   	973
259   	969
260   	967
261   	965
262   	963
263   	956
264   	954
265   	949
266   	948
267   	947
268   	945
269   	943
270   	941
271   	937
272   	936
273   	934
274   	923
275   	918
276   	918
277   	917
278   	916
279   	913
280   	913
281   	911
282   	906
283   	903
284   	899
285   	898
286   	898
287   	898
288   	889
289   	889
290   	887
291   	887
292   	887
293   	887
294   	886
295   	876
296   	876
297   	873
298   	872
299   	867
300   	862
301   	859
302   	858
303   	858
304   	855
305   	853
306   	842
307   	839
308   	837
309   	837
310   	836
311   	835
312   	834
313   	830
314   	829
315   	827
316   	827
317   	826
318   	825
319   	822
320   	820
321   	819
322   	818
323   	817
324   	817
325   	816
326   	814
327   	814
328   	813
329   	812
330   	810
331   	807
332   	806
333   	805
334   	804
335   	802
336   	801
337   	801
338   	800
339   	800
340   	799
341   	797
342   	795
343   	793
344   	791
345   	790
346   	790
