"Lodè"	"Lode"
"Phaëton"	"Phaeton"
"Náxos"	"Naxos"
"Abrantès"	"Abrantes"
"Apéritif"	"aperitif"
"Löwe"	"Lowe"
"Loré"	"Lore"
"Véry"	"very"
"Almodôvar"	"Almodovar"
"Élite"	"elite"
"Fécamp"	"Fecamp"
"Lomé"	"Lome"
"Unzué"	"Unzue"
"Déjà"	"Deja"
"Müller"	"Muller"
"Metapán"	"Metapan"
"Havré"	"Havre"
"Dedê"	"Dede"
"Désiré"	"Desire"
"Coupé"	"coupe"
"Atitlán"	"Atitlan"
"Kâmpuchea"	"Kampuchea"
"Enragés"	"enrages"
"Nausicaä"	"Nausicaa"
"Nausicäa"	"Nausicaa"
"Hölstein"	"Holstein"
"Manqué"	"manque"
"Galván"	"Galvan"
"Alcántara"	"Alcantara"
"Alcântara"	"Alcantara"
"Petrová"	"Petrova"
"Rheinmünster"	"Rheinmunster"
"Chenières"	"Chenieres"
"Désert"	"Desert"
"Sinéad"	"Sinead"
"Präz"	"Praz"
"Piqué"	"Pique"
"Coupés"	"coupes"
"Chrétien"	"Chretien"
"Serviès"	"Servies"
"Molnár"	"Molnar"
"Kavajë"	"Kavaje"
"Façade"	"facade"
"Kávala"	"Kavala"
"Cély"	"Cely"
"Tönder"	"Tonder"
"Célé"	"Cele"
"Villé"	"ville"
"Corrèze"	"Correze"
"Corréze"	"Correze"
"Crédito"	"credito"
"Glückstadt"	"Gluckstadt"
"Lewków"	"Lewkow"
"Kifissiá"	"Kifissia"
"Gendér"	"Gender"
"Hrádek"	"Hradek"
"Roldán"	"Roldan"
"Opéra"	"Opera"
"Ópera"	"Opera"
"Therèse"	"Therese"
"Expansión"	"Expansion"
"Cardón"	"Cardon"
"Grevé"	"Greve"
"Helgö"	"Helgo"
"Árpád"	"Arpad"
"Alférez"	"Alferez"
"Mêmo"	"memo"
"Pilón"	"Pilon"
"Bèbè"	"Bebe"
"Bébé"	"Bebe"
"Lübs"	"Lubs"
"Meré"	"mere"
"Méré"	"mere"
"Lucé"	"Luce"
"Metê"	"mete"
"Lobão"	"Lobao"
"Zubák"	"Zubak"
"Pflüger"	"Pfluger"
"Jamón"	"Jamon"
"Vertebræ"	"vertebra"
"Baltazár"	"Baltazar"
"Rhône-Poulenc"	"Rhone-Poulenc"
"Gusmão"	"Gusmao"
"Brassó"	"Brasso"
"Atmosphères"	"atmospheres"
"Séance"	"seance"
"França"	"franca"
"Bávaro"	"Bavaro"
"Manéssé"	"Manesse"
"Länder"	"lander"
"Kádár"	"Kadar"
"Chargé"	"Charge"
"Cháo"	"Chao"
"Chão"	"Chao"
"Téléphone"	"Telephone"
"Brundibár"	"Brundibar"
"Chée"	"Chee"
"Bergère"	"Bergere"
"Soufflé"	"souffle"
"Schäuble"	"Schauble"
"Lières"	"Lieres"
"Alcobaça"	"Alcobaca"
"Henån"	"Henan"
